,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,area,No_of_Bedrooms,No_of_servant_rooms,type,size,studio_apartment
12993,430000,2,2,Condominium (Corner),"Built-up : 1,417 sq. ft.",Partly Furnished,Sri Petaling,3,0,Built-up ,1417,0
12994,360000,2,1,Condominium (Corner),Land area : 974 sq. ft.,Partly Furnished,Kepong,3,0,Land area ,974,0
12995,3551100,2,1,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1399,0
12996,735000,2,2,Condominium (Intermediate),"Built-up : 1,127 sq. ft.",Partly Furnished,Cheras,3,0,Built-up ,1127,0
12997,1200000,3,2,Condominium,"Built-up : 1,703 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1703,0
12998,613000,2,2,Serviced Residence (Intermediate),Built-up : 873 sq. ft.,Fully Furnished,Salak Selatan,2,0,Built-up ,873,0
12999,388000,2,1,Apartment (Intermediate),"Built-up : 1,207 sq. ft.",Partly Furnished,Wangsa Maju,4,0,Built-up ,1207,0
13000,393000,2,1,Serviced Residence (Intermediate),Built-up : 952 sq. ft.,Partly Furnished,Bandar Menjalara,3,1,Built-up ,952,0
13001,435000,2,1,Serviced Residence (Corner),"Built-up : 1,001 sq. ft.",Fully Furnished,Bandar Menjalara,4,0,Built-up ,1001,0
13002,3250000,3,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished,KLCC,2,1,Built-up ,1668,0
13003,2600000,2,1,Serviced Residence,"Built-up : 1,184 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1184,0
13004,2300000,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,KLCC,1,1,Built-up ,1087,0
13005,3929200,3,2,Serviced Residence,"Built-up : 1,786 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1786,0
13006,3753000,3,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1668,0
13007,4170000,3,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1668,0
13008,4465000,3,2,Serviced Residence (Corner),"Built-up : 1,786 sq. ft.",Partly Furnished,KLCC,3,0,Built-up ,1786,0
13009,5400000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2195,0
13010,4500000,4,2,Serviced Residence,"Built-up : 2,195 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2195,0
13011,4100000,4,2,Serviced Residence,"Built-up : 2,195 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2195,0
13012,2750000,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,KLCC,1,1,Built-up ,1087,0
13013,650000,3,2,Condominium (Corner),"Built-up : 1,615 sq. ft.",Fully Furnished,Dutamas,3,0,Built-up ,1615,0
13014,1800000,5,1,Condominium,"Built-up : 2,025 sq. ft.",Fully Furnished,Mont Kiara,4,0,Built-up ,2025,0
13015,3050000,6,3,Condominium,"Built-up : 3,606 sq. ft.",Fully Furnished,Mont Kiara,5,0,Built-up ,3606,0
13016,5680000,6,4,Bungalow (Corner),Land area : 10920 sq. ft.,Partly Furnished,OUG,6,1,Land area ,10920,0
13017,530000,2,1,Condominium (Intermediate),"Built-up : 1,001 sq. ft.",Unfurnished,Bukit Jalil,3,0,Built-up ,1001,0
13018,1350000,3,3,Condominium (Intermediate),"Built-up : 1,641 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,1641,0
13019,748000,2,2,Condominium (Corner),"Built-up : 1,404 sq. ft.",Partly Furnished,Bukit Jalil,3,0,Built-up ,1404,0
13020,530000,2,2,Condominium,"Built-up : 1,272 sq. ft.",Fully Furnished,Setapak,4,0,Built-up ,1272,0
13021,700000,3,2,2-sty Terrace/Link House (Intermediate),"Built-up : 1,650 sq. ft.",Partly Furnished,Cheras,4,1,Built-up ,1650,0
13022,5800000,6,10,Bungalow (Corner),Land area : 11600 sq. ft.,Partly Furnished,Sri Petaling,8,1,Land area ,11600,0
13023,3600000,5,10,Bungalow (Intermediate),Land area : 12000 sq. ft.,Fully Furnished,Kuchai Lama,5,0,Land area ,12000,0
13024,8340000,3,2,Condominium (Corner),"Built-up : 2,454 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2454,0
13025,470000,2,1,Serviced Residence (Intermediate),Built-up : 935 sq. ft.,Partly Furnished,Kuchai Lama,3,0,Built-up ,935,0
13026,6380000,5,3,Serviced Residence,"Built-up : 5,400 sq. ft.",Partly Furnished,Mont Kiara,4,2,Built-up ,5400,0
13027,946684,2,1,Condominium,Built-up : 795 sq. ft.,Partly Furnished,KL City,1,1,Built-up ,795,0
13028,1050000,3,1,Condominium,"Built-up : 1,556 sq. ft.",Fully Furnished,Mont Kiara,4,0,Built-up ,1556,0
13029,980000,2,2,Condominium (Corner),"Built-up : 1,410 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,1410,0
13030,1050000,3,2,Condominium,"Built-up : 1,550 sq. ft.",Fully Furnished,Mont Kiara,4,0,Built-up ,1550,0
13031,1080000,3,2,Serviced Residence,"Built-up : 1,549 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,1549,0
13032,1050000,1,2,Condominium,"Built-up : 1,034 sq. ft.",Partly Furnished,Desa ParkCity,2,0,Built-up ,1034,0
13033,1948500,2,1,Serviced Residence,"Built-up : 1,299 sq. ft.",Partly Furnished,KLCC,2,1,Built-up ,1299,0
13034,1900000,5,3,Condominium,"Built-up : 2,315 sq. ft.",Fully Furnished,KLCC,4,1,Built-up ,2315,0
13035,1100000,1,1,Apartment (Intermediate),Built-up : 694 sq. ft.,Partly Furnished,Cheras,1,1,Built-up ,694,0
13036,1400000,5,2,Serviced Residence,"Built-up : 1,840 sq. ft.",Partly Furnished,Taman Tun Dr Ismail,3,1,Built-up ,1840,0
13037,2500000,5,3,Serviced Residence,"Built-up : 2,475 sq. ft.",Fully Furnished,Taman Tun Dr Ismail,4,1,Built-up ,2475,0
13038,4700000,5,2,Bungalow (Intermediate),Land area : 5500 sq. ft.,Partly Furnished,Damansara Heights,6,0,Land area ,5500,0
13039,8300000,6,5,Bungalow,Land area : 12063 sq. ft.,Unfurnished,Damansara Heights,6,0,Land area ,12063,0
13040,6500000,6,4,Bungalow,Land area : 9700 sq. ft.,Fully Furnished,Damansara Heights,5,0,Land area ,9700,0
13041,510000,2,2,Condominium,"Built-up : 1,450 sq. ft.",Unfurnished,Setapak,3,0,Built-up ,1450,0
13042,5733948,5,3,Condominium (Intermediate),"Built-up : 3,993 sq. ft.",Partly Furnished,KL Eco City,4,1,Built-up ,3993,0
13043,430000,2,2,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,950,0
13044,493000,2,2,Serviced Residence,"Built-up : 1,040 sq. ft.",Unfurnished,Setapak,3,0,Built-up ,1040,0
13045,370000,1,1,Apartment (Studio),Built-up : 450 sq. ft.,Partly Furnished,Bangsar South,0,0,Built-up ,450,1
13046,610000,2,1,Serviced Residence,"Built-up : 1,175 sq. ft.",Fully Furnished,Brickfields,3,0,Built-up ,1175,0
13047,630000,2,2,Condominium (Corner),"Built-up : 1,464 sq. ft.",Fully Furnished,Cheras,3,0,Built-up ,1464,0
13048,560000,2,1,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Partly Furnished,Cheras,4,0,Built-up ,1461,0
13049,595000,2,1,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Fully Furnished,Cheras,4,0,Built-up ,1461,0
13050,680000,2,3,Condominium (Corner),"Built-up : 1,461 sq. ft.",Partly Furnished,Cheras,4,0,Built-up ,1461,0
13051,630000,2,2,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Partly Furnished,Cheras,4,0,Built-up ,1461,0
13052,627000,2,2,Condominium (Intermediate),"Built-up : 1,461 sq. ft.",Partly Furnished,Cheras,4,0,Built-up ,1461,0
13053,1280000,3,2,Condominium (Corner),"Built-up : 2,916 sq. ft.",Partly Furnished,Cheras,5,0,Built-up ,2916,0
13054,3480000,8,4,Bungalow (Corner),Land area : 7500 sq. ft.,Partly Furnished,OUG,6,1,Land area ,7500,0
13055,1200000,2,1,Serviced Residence (EndLot),Built-up : 914 sq. ft.,Partly Furnished,Bangsar South,2,0,Built-up ,914,0
13056,430000,2,1,Condominium (Intermediate),"Built-up : 1,146 sq. ft.",Partly Furnished,Cheras,3,0,Built-up ,1146,0
13057,470000,2,2,Serviced Residence (EndLot),Built-up : 950 sq. ft.,Fully Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,950,0
13058,630000,2,1,Condominium (Corner),"Built-up : 1,088 sq. ft.",Partly Furnished,Wangsa Maju,1,1,Built-up ,1088,0
13059,499000,2,1,Serviced Residence (Intermediate),"Built-up : 1,129 sq. ft.",Unfurnished,Cheras,3,0,Built-up ,1129,0
13060,420000,1,1,Serviced Residence (Intermediate),Built-up : 916 sq. ft.,Partly Furnished,Cheras,2,0,Built-up ,916,0
13061,620000,2,1,Serviced Residence,Built-up : 791 sq. ft.,Partly Furnished,Bukit Jalil,2,0,Built-up ,791,0
13062,500000,1,1,Serviced Residence,Built-up : 667 sq. ft.,Partly Furnished,Bukit Jalil,1,1,Built-up ,667,0
13063,3080000,5,2,3.5-sty Terrace/Link House,"Built-up : 3,000 sq. ft.",Partly Furnished,Desa ParkCity,4,1,Built-up ,3000,0
13064,2350000,5,2,Serviced Residence (Corner),"Built-up : 2,426 sq. ft.",Unfurnished,Taman Tun Dr Ismail,3,2,Built-up ,2426,0
13065,4900000,6,2,Serviced Residence (Corner),"Built-up : 3,823 sq. ft.",Fully Furnished,Taman Tun Dr Ismail,4,2,Built-up ,3823,0
13066,3116400,5,2,Serviced Residence (Corner),"Built-up : 2,968 sq. ft.",Partly Furnished,Taman Tun Dr Ismail,3,2,Built-up ,2968,0
13067,733000,2,2,Condominium,"Built-up : 1,389 sq. ft.",Fully Furnished,Cheras,3,0,Built-up ,1389,0
13068,1423500,2,1,Serviced Residence (Intermediate),"Built-up : 1,095 sq. ft.",Fully Furnished,Taman Tun Dr Ismail,2,1,Built-up ,1095,0
13069,3580000,8,5,3-sty Terrace/Link House (Corner),Land area : 4800 sq. ft.,Partly Furnished,Mont Kiara,5,1,Land area ,4800,0
13070,710000,2,1,Serviced Residence (Corner),Built-up : 888 sq. ft.,Partly Furnished,Ampang,3,0,Built-up ,888,0
13071,1000000,3,1,Serviced Residence (Intermediate),"Built-up : 1,570 sq. ft.",Partly Furnished,Ampang,4,0,Built-up ,1570,0
13072,1000000,3,3,Condominium (Corner),"Built-up : 1,300 sq. ft.",Fully Furnished,Sentul,3,0,Built-up ,1300,0
13073,2900000,5,3,Condominium (Corner),"Built-up : 3,401 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,3401,0
13074,465000,2,2,Condominium (Intermediate),"Built-up : 1,230 sq. ft.",Unfurnished,Sentul,3,0,Built-up ,1230,0
13075,7200000,7,6,Bungalow,"Land area : 11,000 sq. ft.",Fully Furnished,Ampang,5,2,Land area ,11000,0
13076,1200000,2,2,Townhouse (Corner),"Built-up : 1,800 sq. ft.",Partly Furnished,Sri Hartamas,3,0,Built-up ,1800,0
13077,960000,2,2,Townhouse (Intermediate),"Built-up : 1,500 sq. ft.",Partly Furnished,Sri Hartamas,3,0,Built-up ,1500,0
13078,1200000,2,2,Townhouse (Intermediate),"Built-up : 1,500 sq. ft.",Partly Furnished,Sri Hartamas,2,0,Built-up ,1500,0
13079,850000,2,2,Townhouse (Intermediate),"Built-up : 1,500 sq. ft.",Partly Furnished,Sri Hartamas,3,0,Built-up ,1500,0
13080,990000,2,2,Townhouse (Intermediate),"Built-up : 1,500 sq. ft.",Partly Furnished,Sri Hartamas,2,0,Built-up ,1500,0
13081,850000,2,1,Condominium (Corner),"Built-up : 1,280 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1280,0
13082,880000,2,1,Condominium (Corner),"Built-up : 1,390 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1390,0
13083,4450000,6,3,Semi-detached House (Intermediate),Land area : 4000 sq. ft.,Partly Furnished,Sri Hartamas,5,1,Land area ,4000,0
13084,880000,3,1,Condominium (Intermediate),"Built-up : 1,575 sq. ft.",Partly Furnished,Sri Hartamas,3,1,Built-up ,1575,0
13085,800000,2,1,Condominium (Corner),"Built-up : 1,218 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1218,0
13086,4700000,5,2,3-sty Terrace/Link House (Corner),"Built-up : 3,498 sq. ft.",Partly Furnished,Damansara Heights,4,1,Built-up ,3498,0
13087,3600000,6,2,3-sty Terrace/Link House (Intermediate),"Built-up : 3,300 sq. ft.",Partly Furnished,Damansara Heights,4,1,Built-up ,3300,0
13088,2800000,3,5,2-sty Terrace/Link House (Corner),Land area : 4855 sq. ft.,Partly Furnished,Sri Hartamas,4,0,Land area ,4855,0
13089,2400000,4,2,Serviced Residence,"Built-up : 1,804 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,1804,0
13090,6400000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished,KLCC,5,0,Built-up ,2195,0
13091,1550000,4,2,Condominium,"Built-up : 1,800 sq. ft.",Partly Furnished,Taman Tun Dr Ismail,3,1,Built-up ,1800,0
13092,360000,2,2,Townhouse (Intermediate),Built-up : 850 sq. ft.,Partly Furnished,Bandar Damai Perdana,3,0,Built-up ,850,0
13093,380000,2,1,Serviced Residence (Intermediate),Built-up : 903 sq. ft.,Fully Furnished,Bandar Menjalara,4,0,Built-up ,903,0
13094,1200000,4,5,Condominium (Corner),"Built-up : 2,800 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2800,0
13095,645000,2,2,Condominium,Built-up : 935 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,935,0
13096,980000,3,2,Condominium (Intermediate),"Built-up : 1,870 sq. ft.",Fully Furnished,Taman Desa,3,1,Built-up ,1870,0
13097,310000,2,1,Apartment (Corner),Built-up : 991 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,991,0
13098,720000,3,2,Condominium (Corner),"Built-up : 1,496 sq. ft.",Fully Furnished,Kuchai Lama,3,1,Built-up ,1496,0
13099,560000,2,2,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished,Bukit Jalil,3,0,Built-up ,1100,0
13100,589000,2,1,Serviced Residence,Built-up : 935 sq. ft.,Fully Furnished,Taman Desa,3,0,Built-up ,935,0
13101,330000,2,1,Apartment,Built-up : 903 sq. ft.,Fully Furnished,Jalan Kuching,3,0,Built-up ,903,0
13102,1830000,4,3,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,3,2,Built-up ,1830,0
13103,884800,2,2,Condominium,"Built-up : 1,420 sq. ft.",Fully Furnished,Jalan Ipoh,3,1,Built-up ,1420,0
13104,820000,4,2,Condominium,"Built-up : 1,518 sq. ft.",Partly Furnished,Wangsa Maju,3,0,Built-up ,1518,0
13105,3350000,6,4,3-sty Terrace/Link House,Land area : 2484 sq. ft.,Unfurnished,Desa ParkCity,5,1,Land area ,2484,0
13106,917086,2,1,Condominium,Built-up : 945 sq. ft.,Partly Furnished,KL City,2,1,Built-up ,945,0
13107,470000,1,1,Condominium,Built-up : 698 sq. ft.,Fully Furnished,Jalan Ipoh,1,1,Built-up ,698,0
13108,1200000,3,2,Serviced Residence,"Built-up : 1,230 sq. ft.",Fully Furnished,Ampang,3,0,Built-up ,1230,0
13109,350000,2,1,Condominium,Built-up : 956 sq. ft.,Fully Furnished,Desa Petaling,3,0,Built-up ,956,0
13110,700000,2,2,Serviced Residence,Built-up : 950 sq. ft.,Fully Furnished,Ampang,3,0,Built-up ,950,0
13111,2000000,4,3,Condominium,"Built-up : 2,240 sq. ft.",Fully Furnished,Ampang Hilir,3,1,Built-up ,2240,0
13112,765000,2,2,Serviced Residence,"Built-up : 1,076 sq. ft.",Fully Furnished,Desa Pandan,2,0,Built-up ,1076,0
13113,2800000,5,6,2-sty Terrace/Link House,"Built-up : 6,420 sq. ft.",Partly Furnished,Ampang,5,0,Built-up ,6420,0
13114,290000,2,1,Condominium,"Built-up : 1,070 sq. ft.",Partly Furnished,Kuchai Lama,3,0,Built-up ,1070,0
13115,5800000,7,6,Bungalow,Land area : 8000 sq. ft.,Partly Furnished,Cheras,6,0,Land area ,8000,0
13116,825000,3,1,Serviced Residence (Intermediate),"Built-up : 1,055 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1055,0
13117,1248000,1,1,Serviced Residence (EndLot),Built-up : 925 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,925,0
13118,1885000,2,2,Serviced Residence (Corner),"Built-up : 1,426 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1426,0
13119,8800000,7,5,Bungalow,Land area : 11100 sq. ft.,Partly Furnished,Damansara Heights,5,1,Land area ,11100,0
13120,450000,2,1,Condominium (Intermediate),"Built-up : 1,448 sq. ft.",Partly Furnished,Bukit Jalil,3,1,Built-up ,1448,0
13121,610000,2,2,Condominium (Intermediate),"Built-up : 1,232 sq. ft.",Partly Furnished,Bukit Jalil,3,0,Built-up ,1232,0
13122,1200000,2,1,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished,KLCC,1,1,Built-up ,1050,0
13123,395000,2,1,Condominium (Intermediate),"Built-up : 1,097 sq. ft.",Partly Furnished,Bukit Jalil,3,0,Built-up ,1097,0
13124,1030000,2,1,Serviced Residence,Built-up : 903 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,903,0
13125,450000,1,1,Condominium (Intermediate),Built-up : 798 sq. ft.,Partly Furnished,Seputeh,2,0,Built-up ,798,0
13126,860000,3,2,Condominium,"Built-up : 1,893 sq. ft.",Partly Furnished,Segambut,3,1,Built-up ,1893,0
13127,1500000,3,2,Condominium (Corner),"Built-up : 2,640 sq. ft.",Fully Furnished,Taman Desa,4,1,Built-up ,2640,0
13128,1200000,3,2,Condominium,"Built-up : 1,799 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1799,0
13129,1150000,2,1,Serviced Residence,Built-up : 926 sq. ft.,Partly Furnished,Mont Kiara,2,0,Built-up ,926,0
13130,1000000,2,1,Condominium,"Built-up : 1,545 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1545,0
13131,1830000,5,1,Condominium,"Built-up : 2,508 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,2508,0
13132,666000,1,1,Serviced Residence,Built-up : 462 sq. ft.,Fully Furnished,Mont Kiara,1,0,Built-up ,462,0
13133,645000,3,3,Condominium (Intermediate),"Built-up : 1,450 sq. ft.",Fully Furnished,Bukit Jalil,4,0,Built-up ,1450,0
13134,2738700,6,3,Condominium (Corner),"Built-up : 3,043 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3043,0
13135,930000,2,1,Serviced Residence,"Built-up : 1,102 sq. ft.",Fully Furnished,Taman Tun Dr Ismail,3,0,Built-up ,1102,0
13136,850000,2,1,Condominium,"Built-up : 1,478 sq. ft.",Partly Furnished,Taman Tun Dr Ismail,3,0,Built-up ,1478,0
13137,7000000,6,7,Bungalow,Land area : 7680 sq. ft.,Partly Furnished,Damansara Heights,8,1,Land area ,7680,0
13138,750000,2,2,Condominium (Corner),"Built-up : 1,355 sq. ft.",Partly Furnished,Taman Desa,3,0,Built-up ,1355,0
13139,650000,3,1,Condominium (Corner),"Built-up : 1,393 sq. ft.",Partly Furnished,Cheras,3,1,Built-up ,1393,0
13140,680000,2,2,Condominium (Corner),"Built-up : 1,192 sq. ft.",Fully Furnished,Taman Desa,3,0,Built-up ,1192,0
13141,700000,2,2,Condominium (Corner),"Built-up : 1,192 sq. ft.",Fully Furnished,Taman Desa,3,0,Built-up ,1192,0
13142,850000,3,2,Condominium,"Built-up : 1,893 sq. ft.",Partly Furnished,Segambut,3,1,Built-up ,1893,0
13143,688000,2,2,Condominium (Corner),Built-up : 943 sq. ft.,Unfurnished,Keramat,2,0,Built-up ,943,0
13144,650000,2,2,Condominium,Built-up : 962 sq. ft.,Unfurnished,Cheras,2,0,Built-up ,962,0
13145,2680000,5,3,Semi-detached House (EndLot),Land area : 1938 sq. ft.,Fully Furnished,Taman Desa,3,0,Land area ,1938,0
13146,3200000,4,2,Semi-detached House (Intermediate),Land area : 3465 sq. ft.,Partly Furnished,Taman Desa,4,1,Land area ,3465,0
13147,470000,2,3,Condominium,"Built-up : 1,074 sq. ft.",Partly Furnished,Sungai Besi,3,0,Built-up ,1074,0
13148,265000,2,1,Condominium (Intermediate),Built-up : 802 sq. ft.,Partly Furnished,Setapak,3,0,Built-up ,802,0
13149,850000,1,1,Apartment,Built-up : 694 sq. ft.,Fully Furnished,Cheras,1,1,Built-up ,694,0
13150,340000,2,1,Apartment (Intermediate),Built-up : 878 sq. ft.,Partly Furnished,Bukit Jalil,3,0,Built-up ,878,0
13151,380000,2,1,Apartment,Built-up : 817 sq. ft.,Fully Furnished,Cheras,3,0,Built-up ,817,0
13152,975000,2,1,Serviced Residence (SOHO),Built-up : 986 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,986,0
13153,3630000,6,2,3.5-sty Terrace/Link House (Intermediate),Land area : 2000 sq. ft.,Partly Furnished,Mont Kiara,4,0,Land area ,2000,0
13154,1150000,2,1,Serviced Residence,Built-up : 885 sq. ft.,Fully Furnished,KLCC,3,0,Built-up ,885,0
13155,1400000,2,2,Serviced Residence (Corner),Built-up : 930 sq. ft.,Fully Furnished,KLCC,2,0,Built-up ,930,0
13156,1700000,3,3,Condominium,"Built-up : 1,532 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1532,0
13157,1700000,2,1,Condominium,"Built-up : 1,277 sq. ft.",Partly Furnished,KLCC,2,0,Built-up ,1277,0
13158,1020000,2,1,Serviced Residence,Built-up : 681 sq. ft.,Fully Furnished,KLCC,1,1,Built-up ,681,0
13159,1380000,1,1,Serviced Residence,Built-up : 910 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,910,0
13160,998000,1,1,Serviced Residence,Built-up : 654 sq. ft.,Partly Furnished,KLCC,1,1,Built-up ,654,0
13161,850000,1,1,Condominium,Built-up : 683 sq. ft.,Partly Furnished,Dutamas,1,0,Built-up ,683,0
13162,850000,3,2,Condominium (Intermediate),"Built-up : 1,663 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1663,0
13163,660000,2,2,Condominium (Intermediate),"Built-up : 1,164 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,1164,0
13164,890000,3,2,Condominium (Intermediate),"Built-up : 1,710 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1710,0
13165,750000,3,2,Condominium (Intermediate),"Built-up : 1,406 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1406,0
13166,830000,3,2,Condominium (Intermediate),"Built-up : 1,663 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1663,0
13167,678000,2,2,Condominium (Intermediate),"Built-up : 1,164 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),2,0,Built-up ,1164,0
13168,990000,3,2,Condominium (Corner),"Built-up : 1,782 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1782,0
13169,850000,3,2,Condominium (Intermediate),"Built-up : 1,535 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1535,0
13170,745000,2,2,Condominium (Intermediate),"Built-up : 1,392 sq. ft.",Unfurnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,1392,0
13171,560000,2,1,Condominium (Corner),"Built-up : 1,385 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1385,0
13172,580000,2,1,Condominium (Corner),"Built-up : 1,385 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1385,0
13173,500000,2,1,Condominium (Corner),"Built-up : 1,044 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,1044,0
13174,530000,3,1,Condominium (Corner),"Built-up : 1,385 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1385,0
13175,550000,3,1,Condominium (Corner),"Built-up : 1,385 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1385,0
13176,1200000,2,1,Serviced Residence,Built-up : 907 sq. ft.,Partly Furnished,KL City,2,0,Built-up ,907,0
13177,6800000,6,4,Bungalow,Land area : 4700 sq. ft.,Partly Furnished,Ampang,6,0,Land area ,4700,0
13178,1280000,4,4,Condominium (Corner),"Built-up : 1,930 sq. ft.",Partly Furnished,Bukit Jalil,5,1,Built-up ,1930,0
13179,2250000,5,3,Condominium,"Built-up : 2,973 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2973,0
13180,1050000,3,2,Serviced Residence (Corner),"Built-up : 1,697 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1697,0
13181,1680000,3,2,Condominium,"Built-up : 2,038 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,2038,0
13182,1100000,2,1,Serviced Residence,Built-up : 917 sq. ft.,Partly Furnished,Mont Kiara,2,0,Built-up ,917,0
13183,630000,2,1,Condominium,"Built-up : 1,235 sq. ft.",Partly Furnished,Mont Kiara,3,0,Built-up ,1235,0
13184,1700000,3,3,Condominium,"Built-up : 2,513 sq. ft.",Fully Furnished,Mont Kiara,4,0,Built-up ,2513,0
13185,1730000,4,2,Condominium,"Built-up : 2,500 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2500,0
13186,1750000,3,2,Serviced Residence,"Built-up : 1,523 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1523,0
13187,3000000,5,3,Serviced Residence (Penthouse),"Built-up : 4,212 sq. ft.",Unfurnished,Mont Kiara,3,1,Built-up ,4212,0
13188,830000,2,1,Condominium,"Built-up : 1,268 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1268,0
13189,1900000,4,3,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,3,2,Built-up ,1830,0
13190,1550000,3,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1496,0
13191,900000,1,1,Condominium,Built-up : 624 sq. ft.,Fully Furnished,Bukit Bintang,1,0,Built-up ,624,0
13192,580000,3,1,Condominium (Corner),Land area : 1354 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),4,0,Land area ,1354,0
13193,780000,3,1,Condominium (Intermediate),Land area : 1250 sq. ft.,Partly Furnished,Segambut,3,1,Land area ,1250,0
13194,510000,2,1,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Fully Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,1292,0
13195,500000,2,1,Serviced Residence,Built-up : 916 sq. ft.,Fully Furnished,Cheras,2,0,Built-up ,916,0
13196,630000,2,2,Condominium (Intermediate),"Built-up : 1,200 sq. ft.",Partly Furnished,Setiawangsa,3,0,Built-up ,1200,0
13197,480000,3,2,Condominium,"Built-up : 1,333 sq. ft.",Partly Furnished,Setapak,3,1,Built-up ,1333,0
13198,1250000,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1765 sq. ft.,Fully Furnished,Taman Desa,5,2,Land area ,1765,0
