,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
85,"Bangsar South, Kuala Lumpur","RM 630,000",1+1,1.0,1.0,Serviced Residence,Built-up : 650 sq. ft.,Fully Furnished
86,"KLCC, Kuala Lumpur","RM 1,350,000",2,2.0,1.0,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
87,"Bangsar South, Kuala Lumpur","RM 490,000",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 500 sq. ft.,Fully Furnished
88,"Bangsar South, Kuala Lumpur","RM 800,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 825 sq. ft.,Partly Furnished
89,"Dutamas, Kuala Lumpur","RM 1,035,000",3+1,5.0,2.0,Condominium,"Built-up : 1,853 sq. ft.",Unknown
90,"KLCC, Kuala Lumpur","RM 1,000,000",1,1.0,1.0,Condominium (EndLot),Built-up : 657 sq. ft.,Fully Furnished
91,"Sungai Besi, Kuala Lumpur","RM 448,800",3,3.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,045 sq. ft.",Unfurnished
92,"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5.0,3.0,Condominium (Corner),"Built-up : 3,041 sq. ft.",Partly Furnished
93,"KL Sentral, Kuala Lumpur","RM 2,716,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,227 sq. ft.",Partly Furnished
94,"Country Heights Damansara, Kuala Lumpur","RM 9,500,000",6+1,7.0,6.0,Bungalow (Corner),Land area : 10000 sq. ft.,Partly Furnished
95,"Taman Desa, Kuala Lumpur","RM 500,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 715 sq. ft.,Partly Furnished
96,"Damansara Heights, Kuala Lumpur","RM 13,800,000",5+1,7.0,3.0,Bungalow (Corner),Land area : 7500 sq. ft.,Partly Furnished
97,"Desa ParkCity, Kuala Lumpur","RM 2,300,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x83 sq. ft.,Partly Furnished
98,"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5.0,3.0,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished
99,"KLCC, Kuala Lumpur","RM 3,500,000",3,3.0,1.0,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished
100,"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,380,000",4,3.0,2.0,2-sty Terrace/Link House,Land area : 24x75 sq. ft.,Fully Furnished
101,"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
102,"Bukit Jalil, Kuala Lumpur","RM 1,060,000",4+1,4.0,4.0,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
103,"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3.0,3.0,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
104,"KLCC, Kuala Lumpur","RM 1,850,000",3,1.0,1.0,Condominium (Corner),"Built-up : 2,174 sq. ft.",Partly Furnished
105,"Sentul, Kuala Lumpur","RM 668,000",3+1,3.0,3.0,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
106,"KLCC, Kuala Lumpur","RM 1,050,000",2+2,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,313 sq. ft.",Fully Furnished
107,"KLCC, Kuala Lumpur","RM 2,998,000",3+1,3.0,2.0,Condominium (Intermediate),"Built-up : 3,218 sq. ft.",Partly Furnished
108,"KLCC, Kuala Lumpur","RM 2,580,000",3+1,3.0,2.0,Condominium (Intermediate),"Built-up : 2,809 sq. ft.",Partly Furnished
109,"KLCC, Kuala Lumpur","RM 1,100,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 880 sq. ft.,Fully Furnished
110,"KLCC, Kuala Lumpur","RM 3,600,000",4+1,3.0,2.0,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Partly Furnished
111,"KLCC, Kuala Lumpur","RM 2,900,000",3+1,4.0,3.0,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
112,"Sentul, Kuala Lumpur","RM 670,000",3,2.0,2.0,Condominium,"Built-up : 1,085 sq. ft.",Partly Furnished
113,"Desa ParkCity, Kuala Lumpur","RM 1,350,000",2,2.0,2.0,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
114,"KLCC, Kuala Lumpur","RM 2,300,000",1,2.0,1.0,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
115,"KLCC, Kuala Lumpur","RM 1,900,000",2,2.0,1.0,Condominium,Built-up : 915 sq. ft.,Partly Furnished
116,"KLCC, Kuala Lumpur","RM 1,450,000",2,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,090 sq. ft.",Fully Furnished
117,"KLCC, Kuala Lumpur","RM 1,300,000",1,1.0,1.0,Serviced Residence,Built-up : 925 sq. ft.,Partly Furnished
118,"KLCC, Kuala Lumpur","RM 3,600,000",3,4.0,2.0,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
119,"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,630,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
120,"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",6,5.0,3.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
121,"Bukit Jalil, Kuala Lumpur","RM 1,050,000",4+1,4.0,4.0,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
122,"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4.0,4.0,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished
123,"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3.0,2.0,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
124,"Damansara Heights, Kuala Lumpur","RM 2,251,800",2+1,4.0,2.0,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished
125,"Bukit Jalil, Kuala Lumpur","RM 998,000",5+1,5.0,4.0,3-sty Terrace/Link House (EndLot),Land area : 1650 sq. ft.,Partly Furnished
126,"Mont Kiara, Kuala Lumpur","RM 1,550,000",3+1,4.0,2.0,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
127,"Setapak, Kuala Lumpur","RM 780,000",3,3.0,2.0,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished
128,"Desa ParkCity, Kuala Lumpur","RM 1,380,000",2,2.0,2.0,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
129,"Desa ParkCity, Kuala Lumpur","RM 1,798,000",3+1,3.0,2.0,3-sty Terrace/Link House (Intermediate),"Built-up : 2,200 sq. ft.",Partly Furnished
130,"KLCC, Kuala Lumpur","RM 1,268,000",3,3.0,1.0,Condominium (Corner),"Built-up : 1,619 sq. ft.",Fully Furnished
131,"KLCC, Kuala Lumpur","RM 2,600,000",3+1,4.0,3.0,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
132,"KLCC, Kuala Lumpur","RM 4,200,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
133,"KLCC, Kuala Lumpur","RM 3,330,000",2+1,3.0,1.0,Serviced Residence (Corner),"Built-up : 2,789 sq. ft.",Fully Furnished
134,"KLCC, Kuala Lumpur","RM 2,600,000",2,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,184 sq. ft.",Fully Furnished
135,"KLCC, Kuala Lumpur","RM 1,950,000",1+1,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
136,"Kepong, Kuala Lumpur","RM 638,000",3+1,2.0,4.0,1.5-sty Terrace/Link House (EndLot),Land area : 27x70 sq. ft.,Partly Furnished
137,"KLCC, Kuala Lumpur","RM 1,400,000",2,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished
138,"Kepong, Kuala Lumpur","RM 850,000",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
139,"Damansara Heights, Kuala Lumpur","RM 6,500,000",6,5.0,4.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
140,"Mont Kiara, Kuala Lumpur","RM 1,800,000",4,4.0,2.0,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
141,"Bangsar, Kuala Lumpur","RM 3,800,000",4+1,5.0,4.0,Bungalow (Corner),"Built-up : 4,067 sq. ft.",Partly Furnished
142,"KLCC, Kuala Lumpur","RM 3,600,000",3+2,5.0,2.0,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Unknown
143,"Segambut, Kuala Lumpur","RM 635,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 1,643 sq. ft.",Partly Furnished
144,"KLCC, Kuala Lumpur","RM 5,070,000",3+1,4.0,3.0,Serviced Residence (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished
145,"KL City, Kuala Lumpur","RM 1,207,000",Studio,1.0,1.0,Serviced Residence (Intermediate),Built-up : 685 sq. ft.,Partly Furnished
146,"KL City, Kuala Lumpur","RM 1,177,000",2,1.0,1.0,Serviced Residence (Intermediate),Built-up : 717 sq. ft.,Partly Furnished
147,"Wangsa Maju, Kuala Lumpur","RM 700,000",3,2.0,2.0,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished
148,"Mont Kiara, Kuala Lumpur","RM 3,785,400",5+1,5.0,3.0,Condominium (Duplex),"Built-up : 3,907 sq. ft.",Partly Furnished
149,"KLCC, Kuala Lumpur","RM 1,300,000",2,2.0,2.0,Condominium,Built-up : 871 sq. ft.,Fully Furnished
150,"Sentul, Kuala Lumpur","RM 960,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 1,488 sq. ft.",Unfurnished
151,"KL City, Kuala Lumpur","RM 490,000",4,2.0,2.0,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
152,"Mont Kiara, Kuala Lumpur","RM 4,200,000",5+1,5.0,3.0,Condominium (Corner),"Built-up : 3,709 sq. ft.",Partly Furnished
153,"KLCC, Kuala Lumpur","RM 1,450,000",2,1.0,1.0,Serviced Residence (EndLot),"Built-up : 1,050 sq. ft.",Fully Furnished
154,"Desa ParkCity, Kuala Lumpur","RM 2,380,000",4+1,4.0,3.0,Condominium (Corner),"Built-up : 2,454 sq. ft.",Fully Furnished
155,"Bukit Jalil, Kuala Lumpur","RM 1,210,000",5+1,6.0,4.0,3-sty Terrace/Link House (Intermediate),"Built-up : 3,400 sq. ft.",Partly Furnished
156,"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7.0,6.0,Bungalow (Intermediate),Land area : 8113 sq. ft.,Partly Furnished
157,"Mont Kiara, Kuala Lumpur","RM 1,900,000",4+1,4.0,2.0,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
158,"KLCC, Kuala Lumpur","RM 2,700,000",2,2.0,2.0,Serviced Residence,"Built-up : 1,195 sq. ft.",Partly Furnished
